Date,Close,Volume,Daily_Return_pct,article_count,mean_sentiment,positive_count,negative_count
2023-05-26,193.1699981689453,162061500,4.7162123329924865,2.0,0.0,0.0,0.0
2023-05-30,201.16000366210938,128818700,4.136255924264209,3.0,0.0,0.0,0.0
2023-05-31,203.92999267578125,150711700,1.3770078361723614,1.0,0.5691119432449341,1.0,0.0
2023-06-01,207.52000427246094,148029900,1.7604137329555458,2.0,0.0,0.0,0.0
2023-06-02,213.97000122070312,164398400,3.1081326211682914,2.0,-0.2540639638900757,0.0,1.0
2023-06-05,217.61000061035156,151143100,1.7011727666879306,3.0,0.16738941272099814,1.0,0.0
2023-06-06,221.30999755859375,146911600,1.7002881015874438,2.0,0.0,0.0,0.0
2023-06-07,224.57000732421875,185710800,1.4730512862447087,2.0,0.0,0.0,0.0
2023-06-08,234.86000061035156,164489700,4.582087077762265,2.0,-0.4680863320827484,0.0,1.0
2023-06-09,244.39999389648438,200242400,4.06199151040636,1.0,-0.6357967257499695,0.0,1.0
2023-06-12,249.8300018310547,150337900,2.221770896144215,3.0,0.0,0.0,0.0
2023-06-13,258.7099914550781,162384300,3.5544128242966044,3.0,-0.29493192831675213,0.0,1.0
2023-06-14,256.7900085449219,170575500,-0.7421371317580694,3.0,-0.582442839940389,0.0,2.0
2023-06-15,255.89999389648438,160171200,-0.34659239799892383,1.0,0.0,0.0,0.0
2023-06-16,260.5400085449219,167915600,1.813214052015355,2.0,0.0,0.0,0.0
2023-06-20,274.45001220703125,165611200,5.338912722001776,3.0,0.0,0.0,0.0
2023-06-21,259.4599914550781,211797100,-5.46184007477668,1.0,0.0,0.0,0.0
2023-06-22,264.6099853515625,166875900,1.9848894111198723,3.0,0.0,0.0,0.0
2023-06-23,256.6000061035156,177460800,-3.027088806722378,2.0,0.0,0.0,0.0
2023-06-26,241.0500030517578,179990600,-6.060016633625775,3.0,-0.3048507571220398,0.0,1.0
2023-06-27,250.2100067138672,164968200,3.8000429562917493,2.0,0.0,0.0,0.0
2023-06-28,256.239990234375,159770800,2.40996896954786,3.0,-0.2202567458152771,0.0,1.0
2023-06-29,257.5,131283400,0.49173033626503937,2.0,0.0,0.0,0.0
2023-06-30,261.7699890136719,112620800,1.6582481606492783,1.0,0.0,0.0,0.0
2023-07-03,279.82000732421875,119685900,6.895373445427366,3.0,0.6130763490994772,2.0,0.0
2023-07-05,282.4800109863281,131530900,0.9506123909958086,2.0,-0.47214895486831665,0.0,1.0
2023-07-06,276.5400085449219,120332100,-2.1028045208104085,1.0,-0.937804639339447,0.0,1.0
2023-07-07,274.42999267578125,113879200,-0.7630056425625198,2.0,0.2852833569049835,1.0,0.0
2023-07-10,269.6099853515625,119425400,-1.7563704598109409,3.0,0.0,0.0,0.0
2023-07-11,269.7900085449219,91972400,0.0667717084456676,3.0,0.0,0.0,0.0
