Week,Start_Date,End_Date,Start_Close,End_Close,Trading_Days,Total_Volume,article_count,positive_count,negative_count,Period_Return_pct,Mean_Sentiment
2023-07-01/2023-07-07,2023-07-03,2023-07-07,279.82000732421875,274.42999267578125,4,485428100,8.0,3.0,2.0,-1.92624348057866,0.06596165150403976
2023-07-08/2023-07-14,2023-07-10,2023-07-14,269.6099853515625,281.3800048828125,5,539813800,12.0,0.0,1.0,4.365572556929709,-0.081169992685318
2023-07-15/2023-07-21,2023-07-17,2023-07-21,290.3800048828125,260.0199890136719,5,722999700,11.0,1.0,6.0,-10.455270803302351,-0.3649700609120456
2023-07-22/2023-07-28,2023-07-24,2023-07-28,269.05999755859375,266.44000244140625,5,560265300,12.0,1.0,4.0,-0.9737586935854137,-0.17735876142978668
2023-07-29/2023-08-04,2023-07-31,2023-08-04,267.42999267578125,253.86000061035156,5,466610100,10.0,2.0,2.0,-5.074222202848155,-0.021416175365447997
2023-08-05/2023-08-11,2023-08-07,2023-08-11,251.4499969482422,242.64999389648438,5,517873600,10.0,0.0,0.0,-3.4997029861047024,0.0
2023-08-12/2023-08-18,2023-08-14,2023-08-18,239.75999450683594,215.49000549316406,5,556272400,11.0,1.0,1.0,-10.122618272323948,0.012201244180852716
2023-08-19/2023-08-25,2023-08-21,2023-08-25,231.27999877929688,238.58999633789062,5,573612700,12.0,3.0,2.0,3.1606700091560747,0.07823716600735982
2023-08-26/2023-09-01,2023-08-28,2023-09-01,238.82000732421875,245.00999450683594,5,605113000,12.0,2.0,3.0,2.5919047788210525,-0.11443962653477986
2023-09-02/2023-09-08,2023-09-05,2023-09-08,256.489990234375,248.5,4,480110000,8.0,0.0,1.0,-3.1151275053946215,-0.11518288403749466
2023-09-09/2023-09-15,2023-09-11,2023-09-15,273.5799865722656,274.3900146484375,5,663743600,11.0,1.0,3.0,0.29608455147647206,-0.10205941850488837
2023-09-16/2023-09-22,2023-09-18,2023-09-22,265.2799987792969,244.8800048828125,5,575237500,10.0,2.0,1.0,-7.6899856718773645,0.03257070183753967
2023-09-23/2023-09-29,2023-09-25,2023-09-29,246.99000549316406,250.22000122070312,5,588809000,10.0,0.0,3.0,1.3077434939481547,-0.26114848256111145
2023-09-30/2023-10-06,2023-10-02,2023-10-06,251.60000610351562,260.5299987792969,5,592798300,11.0,1.0,4.0,3.549281581538266,-0.20834318074313077
2023-10-07/2023-10-13,2023-10-09,2023-10-13,259.6700134277344,251.1199951171875,5,541322100,10.0,1.0,2.0,-3.2926475405009814,-0.08124820590019226
2023-10-14/2023-10-20,2023-10-16,2023-10-20,253.9199981689453,211.99000549316406,5,616410700,12.0,0.0,7.0,-16.513072218866032,-0.5302438884973526
2023-10-21/2023-10-27,2023-10-23,2023-10-27,212.0800018310547,207.3000030517578,5,585973400,11.0,1.0,4.0,-2.2538658704391534,-0.2708961042490872
2023-10-28/2023-11-03,2023-10-30,2023-11-03,197.36000061035156,219.9600067138672,5,621700600,9.0,1.0,4.0,11.451158306456888,-0.3447285360760159
2023-11-04/2023-11-10,2023-11-06,2023-11-10,219.27000427246094,214.64999389648438,5,613925200,10.0,1.0,2.0,-2.1069960714899305,-0.11977197527885437
2023-11-11/2023-11-17,2023-11-13,2023-11-17,223.7100067138672,234.3000030517578,5,719922800,12.0,2.0,3.0,4.733805381998657,-0.11876183251539867
2023-11-18/2023-11-24,2023-11-20,2023-11-24,235.60000610351562,235.4499969482422,4,421683900,11.0,0.0,9.0,-0.06367111688763138,-0.6059235605326566
2023-11-25/2023-12-01,2023-11-27,2023-12-01,236.0800018310547,238.8300018310547,5,649667900,11.0,0.0,4.0,1.164859360670456,-0.2496508305723017
2023-12-02/2023-12-08,2023-12-04,2023-12-08,235.5800018310547,243.83999633789062,5,578776200,10.0,0.0,3.0,3.506237559485026,-0.23572875261306764
2023-12-09/2023-12-15,2023-12-11,2023-12-15,239.74000549316406,253.5,5,636290500,10.0,0.0,2.0,5.7395487576345605,-0.13929737508296966
2023-12-16/2023-12-22,2023-12-18,2023-12-22,252.0800018310547,252.5399932861328,5,551215200,10.0,0.0,3.0,0.18247836073344015,-0.245124351978302
2023-12-23/2023-12-29,2023-12-26,2023-12-29,256.6099853515625,248.47999572753906,4,407898300,8.0,1.0,4.0,-3.1682280846885735,-0.2758527658879757
2023-12-30/2024-01-05,2024-01-02,2024-01-05,248.4199981689453,237.49000549316406,4,420855000,8.0,2.0,3.0,-4.3998038629514795,-0.05750245600938797
2024-01-06/2024-01-12,2024-01-08,2024-01-12,240.4499969482422,218.88999938964844,5,502418200,10.0,1.0,4.0,-8.966520204712092,-0.23020269274711608
2024-01-13/2024-01-19,2024-01-16,2024-01-19,219.91000366210938,212.19000244140625,4,429375100,8.0,0.0,3.0,-3.5105275304187056,-0.2658676654100418
2024-01-20/2024-01-26,2024-01-22,2024-01-26,208.8000030517578,183.25,5,653348300,12.0,0.0,5.0,-12.236591321037682,-0.3449397881825765
2024-01-27/2024-02-02,2024-01-29,2024-02-02,190.92999267578125,187.91000366210938,5,540672800,10.0,0.0,3.0,-1.5817258312056381,-0.2574924945831299
2024-02-03/2024-02-09,2024-02-05,2024-02-09,181.05999755859375,193.57000732421875,5,536015900,8.0,0.0,2.0,6.909317317082464,-0.2392496019601822
2024-02-10/2024-02-16,2024-02-12,2024-02-16,188.1300048828125,199.9499969482422,5,495639600,11.0,0.0,5.0,6.2828851106406125,-0.29770205508578906
2024-02-17/2024-02-23,2024-02-20,2024-02-23,193.75999450683594,191.97000122070312,4,379627500,8.0,0.0,2.0,-0.9238198476877346,-0.2138848528265953
2024-02-24/2024-03-01,2024-02-26,2024-03-01,199.39999389648438,202.63999938964844,5,488348800,11.0,1.0,4.0,1.6248774284547185,-0.2179857221516696
2024-03-02/2024-03-08,2024-03-04,2024-03-08,188.13999938964844,175.33999633789062,5,549590200,11.0,1.0,5.0,-6.803445887787152,-0.321760123426264
2024-03-09/2024-03-15,2024-03-11,2024-03-15,177.77000427246094,163.57000732421875,5,502780200,12.0,1.0,4.0,-7.9878475597482845,-0.22237026691436768
2024-03-16/2024-03-22,2024-03-18,2024-03-22,173.8000030517578,170.8300018310547,5,418091100,10.0,1.0,3.0,-1.708861431848574,-0.15148863196372986
2024-03-23/2024-03-29,2024-03-25,2024-03-28,172.6300048828125,175.7899932861328,4,346873600,8.0,0.0,2.0,1.8304977778720533,-0.20302565395832062
2024-03-30/2024-04-05,2024-04-01,2024-04-05,175.22000122070312,164.89999389648438,5,547482400,9.0,1.0,5.0,-5.8897427532944135,-0.3860551251305474
2024-04-06/2024-04-12,2024-04-08,2024-04-12,172.97999572753906,171.0500030517578,5,451146100,12.0,1.0,3.0,-1.1157317166438085,-0.15790870785713196
2024-04-13/2024-04-19,2024-04-15,2024-04-19,161.47999572753906,147.0500030517578,5,462858300,10.0,2.0,5.0,-8.936086857550208,-0.208432075381279
2024-04-20/2024-04-26,2024-04-22,2024-04-26,142.0500030517578,168.2899932861328,5,649063900,11.0,5.0,2.0,18.47236161256125,0.18666137348521838
2024-04-27/2024-05-03,2024-04-29,2024-05-03,194.0500030517578,181.19000244140625,5,628370700,11.0,1.0,4.0,-6.627158159292323,-0.24156282706694168
2024-05-04/2024-05-10,2024-05-06,2024-05-10,184.75999450683594,168.47000122070312,5,377983200,10.0,2.0,0.0,-8.81684010091811,0.14638019800186158
2024-05-11/2024-05-17,2024-05-13,2024-05-17,171.88999938964844,177.4600067138672,5,370347300,10.0,2.0,6.0,3.240448742798807,-0.3090763330459595
2024-05-18/2024-05-24,2024-05-20,2024-05-24,174.9499969482422,179.24000549316406,5,402867400,10.0,0.0,3.0,2.452134106747672,-0.27708486914634706
2024-05-25/2024-05-31,2024-05-28,2024-05-31,176.75,178.0800018310547,4,259452200,8.0,1.0,4.0,0.7524762834821397,-0.34871135652065277
2024-06-01/2024-06-07,2024-06-03,2024-06-07,176.2899932861328,177.47999572753906,5,312710900,12.0,0.0,3.0,0.6750255185924203,-0.20788301527500153
2024-06-08/2024-06-14,2024-06-10,2024-06-14,173.7899932861328,178.00999450683594,5,406948200,11.0,3.0,2.0,2.4282187604180328,0.03365293416109952
2024-06-15/2024-06-21,2024-06-17,2024-06-21,187.44000244140625,183.00999450683594,4,296598800,9.0,1.0,4.0,-2.363427164356302,-0.2307932178179423
2024-06-22/2024-06-28,2024-06-24,2024-06-28,182.5800018310547,197.8800048828125,5,388819500,10.0,3.0,0.0,8.379889855579714,0.24292433857917786
2024-06-29/2024-07-05,2024-07-01,2024-07-05,209.86000061035156,251.52000427246094,4,661802000,10.0,0.0,1.0,19.851331145023575,-0.09726250767707825
2024-07-06/2024-07-12,2024-07-08,2024-07-12,252.94000244140625,248.22999572753906,5,823613000,10.0,2.0,5.0,-1.86210432055256,-0.33018274903297423
2024-07-13/2024-07-19,2024-07-15,2024-07-19,252.63999938964844,239.1999969482422,5,587103100,9.0,1.0,1.0,-5.31982365178747,-0.0529260171784295
